Identifier,Title,Description,Currency,Amount Awarded,Award Date,Recipient Org:Identifier,Recipient Org:Name,Funding Org:Identifier,Funding Org:Name,Grant Programme:Title,Publisher:Prefix,Publisher:Name,Licence,Licence Name,_recipient_id,_recipient_name,_recipient_type,_recipient_income,_recipient_is_grantmaker,_may_be_regranted,Location:ladcd,Location:ladnm,Location:utlacd,Location:utlanm,Location:rgncd,Location:rgnnm,Location:ctrycd,Location:ctrynm,Location:latitude,Location:longitude,Location:source,_last_updated
360G-GWF-93751_2020-03-20,Main Grants award - COVID19 response,Learning 4 Life,GBP,50000,20/03/2020,GB-CHC-701772,Llamau,GB-CHC-230260,Garfield Weston Foundation,Welfare,360G-GWF,Garfield Weston Foundation,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-701772,LLAMAU LIMITED,registered-charity,14006892,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.48356748,-3.194911262,recipientOrganizationPostcode,03:24.7
360G-TrussellTrust-CVTaff1,Grant to Taff-Ely Foodbank,CV emergency costs: delivery costs,GBP,1000,24/03/2020,GB-CHC-1134706,"Bethel Baptist Church, Pontyclun",GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1134706,"BETHEL BAPTIST CHURCH, PONTYCLUN",registered-charity,229474,FALSE,FALSE,W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,,,W92000004,Wales,51.52500791,-3.385770023,recipientOrganizationPostcode,03:24.7
360G-TrussellTrust-CVVale1,Grant to Vale Foodbank,CV emergency costs: delivery costs,GBP,4170,24/03/2020,GB-CHC-1100502,The Coastlands Family Church,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1100502,THE COASTLANDS FAMILY CHURCH,registered-charity,486200,FALSE,FALSE,W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,,,W92000004,Wales,51.42131918,-3.274085222,recipientOrganizationPostcode,03:24.7
360G-tnlcomfund-0020103190,"CUBE - Community United Barry 4 Everyone, A Community for the Community","Action for Elders will use a COVID-19 grant top-up of £21,499 to move their service online. They improve the health and wellbeing of older people in the Vale of Glamorgan through activities that focus on mental health, preventative health and mobility.",GBP,500000,25/03/2020,GB-COH-11350126,Heroes Rights,GB-GOR-PB188,The National Lottery Community Fund,People and Places 3,360G-tnlcomfund,The National Lottery Community Fund,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence 3.0 (United Kingdom),GB-COH-11350126,HEROES RIGHTS,registered-company,,FALSE,FALSE,W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,,,W92000004,Wales,51.413761,-3.26154,recipientOrganizationLocation,03:24.7
360G-TrussellTrust-CVEVly1,Grant to Eastern Valley Foodbank,"CV emergency costs: food purchase, delivery costs",GBP,2500,25/03/2020,GB-CHC-1170433,Eastern Valley Foodbank,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1170433,EASTERN VALLEY FOODBANK,registered-charity,126222,FALSE,FALSE,W06000020,Torfaen,W06000020,Torfaen,,,W92000004,Wales,51.71388432,-3.056862287,recipientOrganizationPostcode,03:24.7
360G-TrussellTrust-CVLldd1,Grant to Llandrindod Foodbank,"CV emergency costs: salary costs, delivery costs",GBP,2295,26/03/2020,GB-CHC-1174880,Llandrindod Foodbank,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1174880,LLANDRINDOD FOODBANK,registered-charity,30390,FALSE,FALSE,W06000023,Powys,W06000023,Powys,,,W92000004,Wales,52.24107936,-3.380801058,recipientOrganizationPostcode,03:24.7
360G-TrussellTrust-CVRhyl1,Grant to Rhyl Foodbank,CV emergency costs: food purchase,GBP,1500,27/03/2020,GB-CHC-1171448,Sussex Street Christian Centre Rhyl,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1171448,SUSSEX STREET CHRISTIAN CENTRE,registered-charity,106447,FALSE,FALSE,W06000004,Denbighshire,W06000004,Denbighshire,,,W92000004,Wales,53.31958949,-3.491493606,recipientOrganizationPostcode,03:24.7
360G-TrussellTrust-CVWels1,Grant to Welshpool & District Foodbank,"CV emergency costs: storage, IT",GBP,350,27/03/2020,GB-CHC-1122959,Kingswood Church,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1122959,KINGSWOOD CHURCH,registered-charity,53999,FALSE,FALSE,W06000023,Powys,W06000023,Powys,,,W92000004,Wales,52.65488053,-3.148730623,recipientOrganizationPostcode,03:24.7
360G-TrussellTrust-CVCrdf1,Grant to Cardiff Foodbank,CV emergency costs: warehouse costs,GBP,1800,31/03/2020,GB-CHC-1139456,Cardiff Foodbank,GB-CHC-1110522,the Trussell Trust,Covid19 Emergency Grants,360G-TrussellTrust,the Trussell Trust,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),GB-CHC-1139456,CARDIFF FOODBANK,registered-charity,146884,FALSE,FALSE,W06000015,Cardiff,W06000015,Cardiff,,,W92000004,Wales,51.48036329,-3.157714168,recipientOrganizationPostcode,03:24.7
360G-WCVA-24552,Third Sector Resilience Fund for Wales,Third Sector Resilience Fund for Wales,GBP,15000,01/04/2020,360G-WCVA-0010N00004M8jKvQAJ,Valleys Gymnastics Academy Ltd,GB-CHC-218093,Wales Council for Voluntary Action,Third Sector Resilience Fund for Wales (COVID),360G-WCVA,Wales Council for Voluntary Action,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International (CC BY 4.0),,,,,FALSE,FALSE,W06000018,Caerphilly,W06000018,Caerphilly,,,W92000004,Wales,51.67991104,-3.161654175,recipientOrganizationPostcode,03:24.7
